,ethereum,bitcoin,cardano,tether,binancecoin,dogecoin,usd-coin,solana,tether-gold,tron
circulating_supply,120214161.666801,19466675.0,35045020830.3234,82845776808.287,153856150.0,140721726383.705,25934750246.8791,407770842.484191,246524.33,89387556747.0301
total_supply,120214161.666801,21000000.0,45000000000.0,82845776808.287,153856150.0,140721496383.705,25934267999.2448,555640850.147842,246524.33,89387906138.875
